game_id,win,duration,avg_kda,avg_gold_per_min,avg_damage_champ_per_min,avg_vision_score,baron_kills,dragon_kills,tower_kills
3736624841,1,2374,2.972777777777778,436.66554338668914,1257.4776748104464,45.0,1,4,12
3736627581,0,1469,0.8396031746031746,340.96664397549347,483.96187882913546,21.4,0,0,2
3736627581,1,1469,9.966666666666667,420.87406398910827,736.2641252552756,18.6,0,4,6
3736629537,0,2134,1.95495670995671,379.8444236176195,821.8144329896907,31.2,0,0,3
3736629537,1,2134,3.1333333333333337,412.543580131209,867.0421743205249,31.8,0,4,10
3736640025,0,1928,2.211111111111111,367.92323651452284,774.759336099585,29.8,0,1,4
3736640025,1,1928,3.317142857142857,427.4502074688797,775.7676348547718,24.2,1,4,9
3736666672,0,1834,1.2385281385281384,330.16357688113413,715.9760087241004,25.2,0,1,4
3736666672,1,1834,7.85,415.8909487459106,897.8211559432933,27.4,1,3,11
3736811308,0,1637,1.6952380952380952,348.2638973732437,517.5760537568723,20.2,0,1,3
3736811308,1,1637,5.9,428.0781918142944,670.7171655467317,24.4,1,3,10
